protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,MTL,cosine,fit,ema,full,0.9992690387364048,0.0039601857759755,0.0052481706696723,0.0038102708994167,0.001428678779437,0.0276414962864395,0.0013824271399688,0.0039612110102138,0.0009384747498382,1647
strict,MTL,cosine,fit,ema,tail20,0.8185601729631632,0.0029864088449904,0.0035801691049323,0.0038102708994167,0.001428678779437,0.009432728000732,0.0011155303743477,0.0029872481098817,0.0003741420096625,330
strict,MTL,cosine,fit,ema,decay,0.8185601729631632,0.0029864088449904,0.0035801691049323,0.0038102708994167,0.001428678779437,0.009432728000732,0.0011155303743477,0.0029872481098817,0.0003741420096625,330
strict,MTL,cosine,fit,ema,final1000,-2.1168111509725414,0.0035208518840021,0.0039479708044489,0.0038102708994167,0.001428678779437,0.0081828794505178,0.0013202311365768,0.0034841109580341,0.0032561303763358,51
strict,MTL,cosine,fit,ema,stable,0.9992146720776754,0.0042041845513932,0.0055886583759146,0.0035533078831493,0.0013193092938015,0.0276414962864395,0.0014493033226985,0.0042057499129736,0.0012673764435628,1317
strict,MTL,cosine,fit,raw,full,0.9470097251954644,0.0334523846983215,0.0430058194302826,0.0246221961002306,0.0093048172455707,0.2170809509008968,0.0117734629293872,0.0333992867707381,0.0029000493909991,1647
strict,MTL,cosine,fit,raw,tail20,0.0391242413289241,0.0313452224107115,0.0398797954155785,0.0246221961002306,0.0093048172455707,0.137808720974029,0.0117244595720236,0.0313734086199556,0.0009411630311437,330
strict,MTL,cosine,fit,raw,decay,0.0391242413289241,0.0313452224107115,0.0398797954155785,0.0246221961002306,0.0093048172455707,0.137808720974029,0.0117244595720236,0.0313734086199556,0.0009411630311437,330
strict,MTL,cosine,fit,raw,final1000,-0.042800729120497,0.0342208898948372,0.043721402966245,0.0246221961002306,0.0093048172455707,0.1226845842744497,0.0129314692287834,0.0340757361264729,0.0089419743296699,51
strict,MTL,cosine,fit,raw,stable,0.9471294271470084,0.0339803752487477,0.0437541273838581,0.0034930765045571,0.0012969749626421,0.2170809509008968,0.0117857416749681,0.0339223914809255,0.0033908865198921,1317
strict,MTL,wsd,test,ema,full,0.9636398042702452,0.0288159469821353,0.0345693671906837,0.0043168726799871,0.0016238994158394,0.0633701431043682,0.0102132176498045,0.0288300841118295,0.0280056795052701,1647
strict,MTL,wsd,test,ema,tail20,0.6986767266021969,0.0125165914433349,0.0184481630014743,0.0043168726799871,0.0016238994158394,0.0563477370107943,0.0045786381104493,0.0124637856784641,0.0102240998533051,330
strict,MTL,wsd,test,ema,decay,0.6741114100618264,0.0137193953926619,0.0203547013908892,0.0043168726799871,0.0016238994158394,0.0563477370107943,0.0050092631536929,0.013670748093044,0.0114943300258678,340
strict,MTL,wsd,test,ema,final1000,-1.4630911024810471,0.0039928703008218,0.0045645981238408,0.0043168726799871,0.0016238994158394,0.010518202574087,0.0014995205012592,0.0040214088826442,0.0039449388894134,51
strict,MTL,wsd,test,ema,stable,0.957938019215932,0.0327431294920212,0.0373916803889162,0.0580040635670355,0.0208825076614315,0.0633701431043682,0.0115669625072474,0.0327434000146422,0.0323009043124593,1307
